12,L’Esperance


Route:,15F
Operator:,"Individual
Operator"
Location 1:,Flacq
Location 2:,Camp Thorel
0,Camp Thorel
1,"Camp Thorel (Heeraman’s
House)"
2,"St Julien d’Hotman (Reetoo’s
House)"
3A,"St Julien d’Hotman (Overseas
Glove Factory)"
3,Mont Ida (Government School)
4,Medine
5,Bel Etang
6,Camp de Masque (Village Hall)
7,F.U.E.L.
8,Bonne Mere (Reservoir)
9,Bonne Mere (Maness)
10,Central Flacq (Bus Station)


Route:,16
Operator:,"Individual
Operator"
Location 1:,Rose Hill
Location 2:,Central Flacq
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,Reduit (University of Mauritius)
3,"Moka (Mahatma Gandhi
Institute)"
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,Verdun (Beginning of Village)
7,Verdun (Bar le Duc Bridge)
8,Alma (Beginning of Village)
9,Alma (Cemetery)
10,"Quartier Militaire (Ex-Railway
Station)"
11,Providence (Beginning of Village)
12,Providence (End of Village)
13,Melrose (Beginning of Village)
14,Melrose (End of Village)
15,"Montagne Blanche (Beginning of
Village)"
16,"Montagne Blanche (End of
Village)"
17,Lesur
18,Sebastopol
19,Clavet
20,L’Etoile
21,Belle Rive
22,Olivia (Beginning of Village)
23,Olivia (Cemetery)
24,Trois Ilots
25,Bel Air (Beginning of Village)
26,Bel Air (Police Station)
27,Caroline
28,Ecroignard (Beginning of Village)
29,Ecroignard (End of Village)
30,Bramsthan
32,Central Flacq (Bus Station)


Route:,16A
Operator:,"Individual
Operator"
Location 1:,Rose Hill
Location 2:,Central Flacq
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,Reduit (University of Mauritius)
3,"Moka (Mahatma Gandhi
Institute)"
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,Verdun (Beginning of Village)
7,Verdun (Bar le Duc Bridge)
8,Alma (Beginning of Village)
9,Alma (Cemetery)
10,"Quartier Militaire (Ex-Railway
Station)"
11,Providence (Beginning of Village)
12,Providence (End of Village)
13,Melrose (Beginning of Village)
14,Melrose (End of Village)
15,"Montagne Blanche (Beginning of
Village)"
16,Petit Paquet
17,Pellegrin (Riviere Profonde)
18,Pellegrin (Nehru’s House)
19,Sebastopol
20,Clavet
21,L’Etoile
22,Belle Rive
23,Olivia (Beginning of Village)
24,Olivia (Cemetery)
25,Trois Ilots
26,Bel Air (Beginning of Village)
27,Bel Air (Police Station)
28,Caroline
